2026-07-05 17:08:27 | INFO     | concept_generator | CONCEPT GENERATOR -- 2 chapter(s)
2026-07-05 17:08:27 | INFO     | concept_generator | ================================================================================
2026-07-05 17:08:27 | INFO     | concept_generator | === Concept generation: chem12_ch1_solutions ===
2026-07-05 17:08:27 | INFO     | concept_generator | LLM call attempt 1/3 (max_tokens=8192)
2026-07-05 17:08:27 | WARNING  | concept_generator | Attempt 1 failed: 400 Client Error: Bad Request for url: http://127.0.0.1:1234/v1/chat/completions
2026-07-05 17:08:30 | INFO     | concept_generator | LLM call attempt 2/3 (max_tokens=16384)
2026-07-05 17:08:30 | WARNING  | concept_generator | Attempt 2 failed: 400 Client Error: Bad Request for url: http://127.0.0.1:1234/v1/chat/completions
2026-07-05 17:08:33 | INFO     | concept_generator | LLM call attempt 3/3 (max_tokens=32768)
2026-07-05 17:08:33 | WARNING  | concept_generator | Attempt 3 failed: 400 Client Error: Bad Request for url: http://127.0.0.1:1234/v1/chat/completions
2026-07-05 17:08:33 | ERROR    | concept_generator | All 3 attempts failed. Saving raw response for inspection.
2026-07-05 17:08:33 | ERROR    | concept_generator | Concept generation failed for 'chem12_ch1_solutions': LLM call failed after 3 attempts: 400 Client Error: Bad Request for url: http://127.0.0.1:1234/v1/chat/completions
2026-07-05 17:08:33 | INFO     | concept_generator | === Concept generation: solution ===
2026-07-05 17:08:33 | INFO     | concept_generator | LLM call attempt 1/3 (max_tokens=8192)
2026-07-05 17:08:33 | WARNING  | concept_generator | Attempt 1 failed: 400 Client Error: Bad Request for url: http://127.0.0.1:1234/v1/chat/completions
2026-07-05 17:08:36 | INFO     | concept_generator | LLM call attempt 2/3 (max_tokens=16384)
2026-07-05 17:08:36 | WARNING  | concept_generator | Attempt 2 failed: 400 Client Error: Bad Request for url: http://127.0.0.1:1234/v1/chat/completions
2026-07-05 17:08:39 | INFO     | concept_generator | LLM call attempt 3/3 (max_tokens=32768)
2026-07-05 17:08:39 | WARNING  | concept_generator | Attempt 3 failed: 400 Client Error: Bad Request for url: http://127.0.0.1:1234/v1/chat/completions
2026-07-05 17:08:39 | ERROR    | concept_generator | All 3 attempts failed. Saving raw response for inspection.
2026-07-05 17:08:39 | ERROR    | concept_generator | Concept generation failed for 'solution': LLM call failed after 3 attempts: 400 Client Error: Bad Request for url: http://127.0.0.1:1234/v1/chat/completions
2026-07-05 17:09:52 | INFO     | concept_generator | ================================================================================
2026-07-05 17:09:52 | INFO     | concept_generator | CONCEPT GENERATOR -- 2 chapter(s)
2026-07-05 17:09:52 | INFO     | concept_generator | ================================================================================
2026-07-05 17:09:52 | INFO     | concept_generator | === Concept generation: chem12_ch1_solutions ===
2026-07-05 17:09:52 | INFO     | concept_generator | LLM call attempt 1/3 (max_tokens=8192)
2026-07-05 17:19:52 | WARNING  | concept_generator | Attempt 1 failed: HTTPConnectionPool(host='127.0.0.1', port=1234): Read timed out. (read timeout=600)
2026-07-05 17:19:55 | INFO     | concept_generator | LLM call attempt 2/3 (max_tokens=16384)
